prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALBUSKJELL,1991,4,0.01097,0.028319999999999998,0.0,0.03929,0.0,43437
ALBUSKJELL,1991,5,0.01138,0.02773,0.0,0.03911,0.0,43437
ALBUSKJELL,1991,6,0.011479999999999999,0.026869999999999998,0.0,0.03835,0.0,43437
ALBUSKJELL,1991,7,0.01061,0.02595,0.0,0.03656,0.0,43437
ALBUSKJELL,1991,8,0.00445,0.00579,0.0,0.01024,0.0,43437
ALBUSKJELL,1991,9,0.01168,0.029480000000000003,0.0,0.04116,0.0,43437
ALBUSKJELL,1991,10,0.01195,0.02841,0.0,0.04036,0.0,43437
ALBUSKJELL,1991,11,0.010209999999999999,0.02514,0.0,0.03535,0.0,43437
ALBUSKJELL,1991,12,0.01108,0.025509999999999998,0.0,0.03659,0.0,43437
ALBUSKJELL,1992,1,0.01073,0.02632,0.0,0.03705,0.0,43437
ALBUSKJELL,1992,2,0.00939,0.02469,0.0,0.034069999999999996,0.0,43437
ALBUSKJELL,1992,3,0.00828,0.02029,0.0,0.02858,0.0,43437
ALBUSKJELL,1992,4,0.01151,0.02768,0.0,0.0392,0.0,43437
ALBUSKJELL,1992,5,0.00787,0.022580000000000003,0.0,0.03044,0.0,43437
ALBUSKJELL,1992,6,0.01013,0.022959999999999998,0.0,0.033089999999999994,0.0,43437
ALBUSKJELL,1992,7,0.010490000000000001,0.02574,0.0,0.03623,0.0,43437
ALBUSKJELL,1992,8,0.01059,0.02486,0.0,0.03544,0.0,43437
ALBUSKJELL,1992,9,0.00978,0.024,0.0,0.033780000000000004,0.0,43437
ALBUSKJELL,1992,10,0.009470000000000001,0.02534,0.0,0.03481,0.0,43437
ALBUSKJELL,1992,11,0.00935,0.023459999999999998,0.0,0.03281,0.0,43437
ALBUSKJELL,1992,12,0.013090000000000001,0.03444,0.0,0.04752,0.0,43437
ALBUSKJELL,1993,1,0.012159999999999999,0.03234,0.0,0.0445,0.0,43437
ALBUSKJELL,1993,2,0.01111,0.027889999999999998,0.0,0.039,0.0,43437
ALBUSKJELL,1993,3,0.01162,0.0289,0.0,0.040530000000000004,0.0,43437
ALBUSKJELL,1993,4,0.01207,0.030739999999999996,0.0,0.04282,0.0,43437
ALBUSKJELL,1993,5,0.012,0.02992,0.0,0.04192,0.0,43437
ALBUSKJELL,1993,6,0.01157,0.02888,0.0,0.04045,0.0,43437
ALBUSKJELL,1993,7,0.01183,0.0296,0.0,0.04143,0.0,43437
ALBUSKJELL,1993,8,0.01193,0.02953,0.0,0.04145,0.0,43437
ALBUSKJELL,1993,9,0.01142,0.026810000000000004,0.0,0.03823,0.0,43437
ALBUSKJELL,1993,10,0.01108,0.028339999999999997,0.0,0.03942,0.0,43437
ALBUSKJELL,1993,11,0.010879999999999999,0.027110000000000002,0.0,0.037989999999999996,0.0,43437
ALBUSKJELL,1993,12,0.01115,0.027630000000000002,0.0,0.03878,0.0,43437
ALBUSKJELL,1994,1,0.01093,0.02706,0.0,0.038,0.0,43437
ALBUSKJELL,1994,2,0.01005,0.024630000000000003,0.0,0.03468,0.0,43437
ALBUSKJELL,1994,3,0.0106,0.02663,0.0,0.03723,0.0,43437
ALBUSKJELL,1994,4,0.01031,0.025490000000000002,0.0,0.0358,0.0,43437
ALBUSKJELL,1994,5,0.010320000000000001,0.026510000000000002,0.0,0.03683,0.0,43437
ALBUSKJELL,1994,6,0.00979,0.02371,0.0,0.0335,0.0,43437
ALBUSKJELL,1994,7,0.00965,0.02414,0.0,0.03379,0.0,43437
ALBUSKJELL,1994,8,0.007559999999999999,0.01786,0.0,0.025419999999999998,0.0,43437
ALBUSKJELL,1994,9,0.00946,0.025419999999999998,0.0,0.03488,0.0,43437
ALBUSKJELL,1994,10,0.00945,0.02603,0.0,0.035480000000000005,0.0,43437
ALBUSKJELL,1994,11,0.01018,0.023719999999999998,0.0,0.0339,0.0,43437
ALBUSKJELL,1994,12,0.009559999999999999,0.024569999999999998,0.0,0.03413,0.0,43437
ALBUSKJELL,1995,1,0.00952,0.02299,0.0,0.032510000000000004,0.0,43437
ALBUSKJELL,1995,2,0.00873,0.02147,0.0,0.0302,0.0,43437
ALBUSKJELL,1995,3,0.00941,0.02343,0.0,0.03284,0.0,43437
ALBUSKJELL,1995,4,0.00905,0.0223,0.0,0.03135,0.0,43437
ALBUSKJELL,1995,5,0.0092,0.02217,0.0,0.03137,0.0,43437
ALBUSKJELL,1995,6,0.0084,0.01964,0.0,0.02804,0.0,43437
ALBUSKJELL,1995,7,0.00861,0.02081,0.0,0.029410000000000002,0.0,43437
ALBUSKJELL,1995,8,0.00951,0.02365,0.0,0.03316,0.0,43437
ALBUSKJELL,1995,9,0.00869,0.02186,0.0,0.03055,0.0,43437
ALBUSKJELL,1995,10,0.00867,0.02254,0.0,0.0312,0.0,43437
ALBUSKJELL,1995,11,0.00839,0.021730000000000003,0.0,0.030119999999999997,0.0,43437
ALBUSKJELL,1995,12,0.00793,0.02215,0.0,0.030080000000000003,0.0,43437
ALBUSKJELL,1996,1,0.007540000000000001,0.02104,0.0,0.02858,0.0,43437
ALBUSKJELL,1996,2,0.006659999999999999,0.01878,0.0,0.02544,0.0,43437
ALBUSKJELL,1996,3,0.00713,0.021580000000000002,0.0,0.028710000000000003,0.0,43437
ALBUSKJELL,1996,4,0.0069299999999999995,0.02134,0.0,0.02827,0.0,43437
ALBUSKJELL,1996,5,0.00672,0.02191,0.0,0.028630000000000003,0.0,43437
ALBUSKJELL,1996,6,0.0059299999999999995,0.01877,0.0,0.0247,0.0,43437
ALBUSKJELL,1996,7,0.007370000000000001,0.02017,0.0,0.02755,0.0,43437
ALBUSKJELL,1996,8,0.00733,0.020659999999999998,0.0,0.02798,0.0,43437
ALBUSKJELL,1996,9,0.00747,0.01967,0.0,0.027139999999999997,0.0,43437
ALBUSKJELL,1996,10,0.0070799999999999995,0.01931,0.0,0.026389999999999997,0.0,43437
ALBUSKJELL,1996,11,0.00643,0.01693,0.0,0.02336,0.0,43437
ALBUSKJELL,1996,12,0.00632,0.01814,0.0,0.02446,0.0,43437
ALBUSKJELL,1997,1,0.0052899999999999996,0.01329,0.0,0.018580000000000003,0.0,43437
ALBUSKJELL,1997,2,0.00606,0.015130000000000001,0.0,0.02119,0.0,43437
ALBUSKJELL,1997,3,0.00692,0.01906,0.0,0.02598,0.0,43437
ALBUSKJELL,1997,4,0.00619,0.01744,0.0,0.02364,0.0,43437
ALBUSKJELL,1997,5,0.00576,0.01764,0.0,0.0234,0.0,43437
ALBUSKJELL,1997,6,0.00541,0.017769999999999998,0.0,0.023180000000000003,0.0,43437
ALBUSKJELL,1997,7,0.00569,0.017169999999999998,0.0,0.02286,0.0,43437
